EID,Angle1,Angle2,Filename_y,Coordinate,Filename
sub-NDARPF042DD2,208.05,89.32,,,sub-NDARPF042DD2-208.05-89.32-curv.png
sub-NDARNG309KZ8,209.13,80.2,,,sub-NDARNG309KZ8-209.13-80.2-curv.png
sub-NDARFM948RTJ,198.96,98.28,,,sub-NDARFM948RTJ-198.96-98.28-curv.png
sub-NDARMC325JCN,213.37,97.16,,,sub-NDARMC325JCN-213.37-97.16-curv.png
sub-NDARRX897XV1,200.09,94.04,,,sub-NDARRX897XV1-200.09-94.04-curv.png
sub-NDARLV708XXF,213.57,93.64,,,sub-NDARLV708XXF-213.57-93.64-curv.png
sub-NDARJG740PM8,216.2,96.47,,,sub-NDARJG740PM8-216.2-96.47-curv.png
sub-NDARLM313FVX,209.68,85.12,,,sub-NDARLM313FVX-209.68-85.12-curv.png
sub-NDARWP237VB3,221.84,76.68,,,sub-NDARWP237VB3-221.84-76.68-curv.png
sub-NDARBH992ARB,223.14,84.0,,,sub-NDARBH992ARB-223.14-84.0-curv.png
sub-NDARHM611GDR,224.77,92.02,,,sub-NDARHM611GDR-224.77-92.02-curv.png
sub-NDARZH521MMD,210.63,85.98,,,sub-NDARZH521MMD-210.63-85.98-curv.png
sub-NDARGA048BD8,220.44,91.46,,,sub-NDARGA048BD8-220.44-91.46-curv.png
sub-NDARCR715LEY,202.64,100.19,,,sub-NDARCR715LEY-202.64-100.19-curv.png
sub-NDARGU667MCK,213.4,100.06,,,sub-NDARGU667MCK-213.4-100.06-curv.png
sub-NDARVD194JX2,199.57,89.08,,,sub-NDARVD194JX2-199.57-89.08-curv.png
sub-NDARVR116KG5,214.17,95.45,,,sub-NDARVR116KG5-214.17-95.45-curv.png
sub-NDARZV421TCZ,219.48,85.23,,,sub-NDARZV421TCZ-219.48-85.23-curv.png
sub-NDARPX219TW0,196.26,90.04,,,sub-NDARPX219TW0-196.26-90.04-curv.png
sub-NDARXH017ZLE,202.8,102.78,,,sub-NDARXH017ZLE-202.8-102.78-curv.png
sub-NDARTE115TAE,195.99,94.68,,,sub-NDARTE115TAE-195.99-94.68-curv.png
sub-NDARXH140YZ0,204.82,103.59,,,sub-NDARXH140YZ0-204.82-103.59-curv.png
sub-NDARED632KNG,213.13,103.68,,,sub-NDARED632KNG-213.13-103.68-curv.png
sub-NDARRB901DWV,199.74,94.23,,,sub-NDARRB901DWV-199.74-94.23-curv.png
sub-NDARTW501ZKN,208.69,101.0,,,sub-NDARTW501ZKN-208.69-101.0-curv.png
sub-NDARTC527WPZ,198.56,90.09,,,sub-NDARTC527WPZ-198.56-90.09-curv.png
sub-NDARWG820RKE,201.33,91.7,,,sub-NDARWG820RKE-201.33-91.7-curv.png
sub-NDARJV225EYT,210.84,78.43,,,sub-NDARJV225EYT-210.84-78.43-curv.png
sub-NDARNK489GNR,197.06,78.96,,,sub-NDARNK489GNR-197.06-78.96-curv.png
sub-NDARFA860RPD,221.36,98.35,,,sub-NDARFA860RPD-221.36-98.35-curv.png
sub-NDAREF662XZT,204.95,86.37,,,sub-NDAREF662XZT-204.95-86.37-curv.png
sub-NDARDX561MRY,221.27,85.27,,,sub-NDARDX561MRY-221.27-85.27-curv.png
sub-NDARTN487KDK,224.74,88.6,,,sub-NDARTN487KDK-224.74-88.6-curv.png
sub-NDARTT242GNN,212.82,79.66,,,sub-NDARTT242GNN-212.82-79.66-curv.png
sub-NDARCW933FD5,215.68,75.19,,,sub-NDARCW933FD5-215.68-75.19-curv.png
sub-NDARZD991YLG,197.57,81.58,,,sub-NDARZD991YLG-197.57-81.58-curv.png
sub-NDARXZ850KHQ,209.56,86.75,,,sub-NDARXZ850KHQ-209.56-86.75-curv.png
sub-NDAREE196FEG,217.31,88.43,,,sub-NDAREE196FEG-217.31-88.43-curv.png
sub-NDARHJ830RXD,210.29,100.91,,,sub-NDARHJ830RXD-210.29-100.91-curv.png
sub-NDARNJ894VH2,221.39,101.8,,,sub-NDARNJ894VH2-221.39-101.8-curv.png
sub-NDARXC418YG7,211.01,98.11,,,sub-NDARXC418YG7-211.01-98.11-curv.png
sub-NDARBA381JGH,221.43,81.08,,,sub-NDARBA381JGH-221.43-81.08-curv.png
sub-NDARPJ001BVE,195.69,76.58,,,sub-NDARPJ001BVE-195.69-76.58-curv.png
sub-NDARWF090RZ7,207.13,103.52,,,sub-NDARWF090RZ7-207.13-103.52-curv.png
sub-NDARHC661KGK,218.46,102.95,,,sub-NDARHC661KGK-218.46-102.95-curv.png
sub-NDARMF444MAY,219.75,87.52,,,sub-NDARMF444MAY-219.75-87.52-curv.png
sub-NDARZA694WHF,207.45,78.39,,,sub-NDARZA694WHF-207.45-78.39-curv.png
sub-NDARWH725TXP,220.96,76.76,,,sub-NDARWH725TXP-220.96-76.76-curv.png
sub-NDARYH996DA9,223.4,93.55,,,sub-NDARYH996DA9-223.4-93.55-curv.png
sub-NDARZJ587UZU,213.61,101.35,,,sub-NDARZJ587UZU-213.61-101.35-curv.png
sub-NDARZH672BAM,202.32,90.93,,,sub-NDARZH672BAM-202.32-90.93-curv.png
sub-NDARZV749GAP,221.27,100.87,,,sub-NDARZV749GAP-221.27-100.87-curv.png
sub-NDARTG396FGE,212.52,89.38,,,sub-NDARTG396FGE-212.52-89.38-curv.png
sub-NDARGA056TMW,201.47,86.3,,,sub-NDARGA056TMW-201.47-86.3-curv.png
sub-NDARDM425CG2,196.22,95.92,,,sub-NDARDM425CG2-196.22-95.92-curv.png
sub-NDARJJ356DAL,203.6,86.11,,,sub-NDARJJ356DAL-203.6-86.11-curv.png
sub-NDARWP732GD1,199.66,82.1,,,sub-NDARWP732GD1-199.66-82.1-curv.png
sub-NDARRA981BCM,207.53,75.87,,,sub-NDARRA981BCM-207.53-75.87-curv.png
sub-NDARVC350WVG,196.28,76.4,,,sub-NDARVC350WVG-196.28-76.4-curv.png
sub-NDARNK489GNR,218.41,83.38,,,sub-NDARNK489GNR-218.41-83.38-curv.png
sub-NDARKA627LF8,197.0,100.95,,,sub-NDARKA627LF8-197.0-100.95-curv.png
sub-NDAREE543HYQ,208.2,99.49,,,sub-NDAREE543HYQ-208.2-99.49-curv.png
sub-NDARTE115TAE,222.63,94.83,,,sub-NDARTE115TAE-222.63-94.83-curv.png
sub-NDARKG720WXN,203.37,77.39,,,sub-NDARKG720WXN-203.37-77.39-curv.png
sub-NDARJZ526HN3,216.45,101.41,,,sub-NDARJZ526HN3-216.45-101.41-curv.png
